year,debates_per_year,keywords
1867,17,passages
1868,5,passages
1869,6,passages
1870,4,passages
1871,8,passages
1872,1,passages
1873,15,passages
1874,7,passages
1875,13,passages
1876,11,passages
1877,7,passages
1878,10,passages
1879,14,passages
1880,18,passages
1881,18,passages
1882,10,passages
1883,37,passages
1884,26,passages
1885,29,passages
1886,46,passages
1887,85,passages
1888,46,passages
1889,53,passages
1890,59,passages
1891,20,passages
1892,56,passages
1893,73,passages
1894,76,passages
1895,107,passages
1896,143,passages
1897,101,passages
1898,86,passages
1899,90,passages
1900,125,passages
1901,98,passages
1902,184,passages
1903,76,passages
1904,85,passages
1905,75,passages
1906,130,passages
1907,101,passages
1908,87,passages
1909,172,passages
1910,115,passages
1804,1,freights
1807,3,freights
1811,2,freights
1815,1,freights
1819,1,freights
1820,1,freights
1823,1,freights
1824,2,freights
1825,1,freights
1826,2,freights
1830,4,freights
1831,1,freights
1833,2,freights
1834,3,freights
1835,4,freights
1836,11,freights
1837,5,freights
1838,1,freights
1839,8,freights
1840,3,freights
1841,5,freights
1842,5,freights
1843,2,freights
1844,1,freights
1845,47,freights
1846,27,freights
1847,18,freights
1848,11,freights
1849,13,freights
1850,24,freights
1851,5,freights
1852,9,freights
1853,7,freights
1854,13,freights
1855,13,freights
1856,6,freights
1857,4,freights
1858,7,freights
1860,6,freights
1861,11,freights
1862,9,freights
1863,12,freights
1864,6,freights
1865,9,freights
1866,7,freights
1867,17,freights
1868,5,freights
1869,6,freights
1870,4,freights
1871,8,freights
1872,1,freights
1873,15,freights
1874,7,freights
1875,13,freights
1876,11,freights
1877,7,freights
1878,10,freights
1879,14,freights
1880,18,freights
1881,18,freights
1882,10,freights
1883,37,freights
1884,26,freights
1885,29,freights
1886,46,freights
1887,85,freights
1888,46,freights
1889,53,freights
1890,59,freights
1891,20,freights
1892,56,freights
1893,73,freights
1894,76,freights
1895,107,freights
1896,143,freights
1897,101,freights
1898,86,freights
1899,90,freights
1900,125,freights
1901,98,freights
1902,184,freights
1903,76,freights
1904,85,freights
1905,75,freights
1906,130,freights
1907,101,freights
1908,87,freights
1909,172,freights
1910,115,freights
1804,1,cargoes
1807,3,cargoes
1811,2,cargoes
1815,1,cargoes
1819,1,cargoes
1820,1,cargoes
1823,1,cargoes
1824,2,cargoes
1825,1,cargoes
1826,2,cargoes
1830,4,cargoes
1831,1,cargoes
1833,2,cargoes
1834,3,cargoes
1835,4,cargoes
1836,11,cargoes
1837,5,cargoes
1838,1,cargoes
1839,8,cargoes
1840,3,cargoes
1841,5,cargoes
1842,5,cargoes
1843,2,cargoes
1844,1,cargoes
1845,47,cargoes
1846,27,cargoes
1847,18,cargoes
1848,11,cargoes
1849,13,cargoes
1850,24,cargoes
1851,5,cargoes
1852,9,cargoes
1853,7,cargoes
1854,13,cargoes
1855,13,cargoes
1856,6,cargoes
1857,4,cargoes
1858,7,cargoes
1860,6,cargoes
1861,11,cargoes
1862,9,cargoes
1863,12,cargoes
1864,6,cargoes
1865,9,cargoes
1866,7,cargoes
1867,17,cargoes
1868,5,cargoes
1869,6,cargoes
1870,4,cargoes
1871,8,cargoes
1872,1,cargoes
1873,15,cargoes
1874,7,cargoes
1875,13,cargoes
1876,11,cargoes
1877,7,cargoes
1878,10,cargoes
1879,14,cargoes
1880,18,cargoes
1881,18,cargoes
1882,10,cargoes
1883,37,cargoes
1884,26,cargoes
1885,29,cargoes
1886,46,cargoes
1887,85,cargoes
1888,46,cargoes
1889,53,cargoes
1890,59,cargoes
1891,20,cargoes
1892,56,cargoes
1893,73,cargoes
1894,76,cargoes
1895,107,cargoes
1896,143,cargoes
1897,101,cargoes
1898,86,cargoes
1899,90,cargoes
1900,125,cargoes
1901,98,cargoes
1902,184,cargoes
1903,76,cargoes
1904,85,cargoes
1905,75,cargoes
1906,130,cargoes
1907,101,cargoes
1908,87,cargoes
1909,172,cargoes
1910,115,cargoes
1804,1,wrecks
1807,3,wrecks
1811,2,wrecks
1815,1,wrecks
1819,1,wrecks
1820,1,wrecks
1823,1,wrecks
1824,2,wrecks
1825,1,wrecks
1826,2,wrecks
1830,4,wrecks
1831,1,wrecks
1833,2,wrecks
1834,3,wrecks
1835,4,wrecks
1836,11,wrecks
1837,5,wrecks
1838,1,wrecks
1839,8,wrecks
1840,3,wrecks
1841,5,wrecks
1842,5,wrecks
1843,2,wrecks
1844,1,wrecks
1845,47,wrecks
1846,27,wrecks
1847,18,wrecks
1848,11,wrecks
1849,13,wrecks
1850,24,wrecks
1851,5,wrecks
1852,9,wrecks
1853,7,wrecks
1854,13,wrecks
1855,13,wrecks
1856,6,wrecks
1857,4,wrecks
1858,7,wrecks
1860,6,wrecks
1861,11,wrecks
1862,9,wrecks
1863,12,wrecks
1864,6,wrecks
1865,9,wrecks
1866,7,wrecks
1867,17,wrecks
1868,5,wrecks
1869,6,wrecks
1870,4,wrecks
1871,8,wrecks
1872,1,wrecks
1873,15,wrecks
1874,7,wrecks
1875,13,wrecks
1876,11,wrecks
1877,7,wrecks
1878,10,wrecks
1879,14,wrecks
1880,18,wrecks
1881,18,wrecks
1882,10,wrecks
1883,37,wrecks
1884,26,wrecks
1885,29,wrecks
1886,46,wrecks
1887,85,wrecks
1888,46,wrecks
1889,53,wrecks
1890,59,wrecks
1891,20,wrecks
1892,56,wrecks
1893,73,wrecks
1894,76,wrecks
1895,107,wrecks
1896,143,wrecks
1897,101,wrecks
1898,86,wrecks
1899,90,wrecks
1900,125,wrecks
1901,98,wrecks
1902,184,wrecks
1903,76,wrecks
1904,85,wrecks
1905,75,wrecks
1906,130,wrecks
1907,101,wrecks
1908,87,wrecks
1909,172,wrecks
1910,115,wrecks
1804,1,cars
1807,3,cars
1811,2,cars
1815,1,cars
1819,1,cars
1820,1,cars
1823,1,cars
1824,2,cars
1825,1,cars
1826,2,cars
1830,4,cars
1831,1,cars
1833,2,cars
1834,3,cars
1835,4,cars
1836,11,cars
1837,5,cars
1838,1,cars
1839,8,cars
1840,3,cars
1841,5,cars
1842,5,cars
1843,2,cars
1844,1,cars
1845,47,cars
1846,27,cars
1847,18,cars
1848,11,cars
1849,13,cars
1850,24,cars
1851,5,cars
1852,9,cars
1853,7,cars
1854,13,cars
1855,13,cars
1856,6,cars
1857,4,cars
1858,7,cars
1860,6,cars
1861,11,cars
1862,9,cars
1863,12,cars
1864,6,cars
1865,9,cars
1866,7,cars
1867,17,cars
1868,5,cars
1869,6,cars
1870,4,cars
1871,8,cars
1872,1,cars
1873,15,cars
1874,7,cars
1875,13,cars
1876,11,cars
1877,7,cars
1878,10,cars
1879,14,cars
1880,18,cars
1881,18,cars
1882,10,cars
1883,37,cars
1884,26,cars
1885,29,cars
1886,46,cars
1887,85,cars
1888,46,cars
1889,53,cars
1890,59,cars
1891,20,cars
1892,56,cars
1893,73,cars
1894,76,cars
1895,107,cars
1896,143,cars
1897,101,cars
1898,86,cars
1899,90,cars
1900,125,cars
1901,98,cars
1902,184,cars
1903,76,cars
1904,85,cars
1905,75,cars
1906,130,cars
1907,101,cars
1908,87,cars
1909,172,cars
1910,115,cars
1804,1,locomotives
1807,3,locomotives
1811,2,locomotives
1815,1,locomotives
1819,1,locomotives
1820,1,locomotives
1823,1,locomotives
1824,2,locomotives
1825,1,locomotives
1826,2,locomotives
1830,4,locomotives
1831,1,locomotives
1833,2,locomotives
1834,3,locomotives
1835,4,locomotives
1836,11,locomotives
1837,5,locomotives
1838,1,locomotives
1839,8,locomotives
1840,3,locomotives
1841,5,locomotives
1842,5,locomotives
1843,2,locomotives
1844,1,locomotives
1845,47,locomotives
1846,27,locomotives
1847,18,locomotives
1848,11,locomotives
1849,13,locomotives
1850,24,locomotives
1851,5,locomotives
1852,9,locomotives
1853,7,locomotives
1854,13,locomotives
1855,13,locomotives
1856,6,locomotives
1857,4,locomotives
1858,7,locomotives
1860,6,locomotives
1861,11,locomotives
1862,9,locomotives
1863,12,locomotives
1864,6,locomotives
1865,9,locomotives
1866,7,locomotives
1867,17,locomotives
1868,5,locomotives
1869,6,locomotives
1870,4,locomotives
1871,8,locomotives
1872,1,locomotives
1873,15,locomotives
1874,7,locomotives
1875,13,locomotives
1876,11,locomotives
1877,7,locomotives
1878,10,locomotives
1879,14,locomotives
1880,18,locomotives
1881,18,locomotives
1882,10,locomotives
1883,37,locomotives
1884,26,locomotives
1885,29,locomotives
1886,46,locomotives
1887,85,locomotives
1888,46,locomotives
1889,53,locomotives
1890,59,locomotives
1891,20,locomotives
1892,56,locomotives
1893,73,locomotives
1894,76,locomotives
1895,107,locomotives
1896,143,locomotives
1897,101,locomotives
1898,86,locomotives
1899,90,locomotives
1900,125,locomotives
1901,98,locomotives
1902,184,locomotives
1903,76,locomotives
1904,85,locomotives
1905,75,locomotives
1906,130,locomotives
1907,101,locomotives
1908,87,locomotives
1909,172,locomotives
1910,115,locomotives
1804,1,highways
1807,3,highways
1811,2,highways
1815,1,highways
1819,1,highways
1820,1,highways
1823,1,highways
1824,2,highways
1825,1,highways
1826,2,highways
1830,4,highways
1831,1,highways
1833,2,highways
1834,3,highways
1835,4,highways
1836,11,highways
1837,5,highways
1838,1,highways
1839,8,highways
1840,3,highways
1841,5,highways
1842,5,highways
1843,2,highways
1844,1,highways
1845,47,highways
1846,27,highways
1847,18,highways
1848,11,highways
1849,13,highways
1850,24,highways
1851,5,highways
1852,9,highways
1853,7,highways
1854,13,highways
1855,13,highways
1856,6,highways
1857,4,highways
1858,7,highways
1860,6,highways
1861,11,highways
1862,9,highways
1863,12,highways
1864,6,highways
1865,9,highways
1866,7,highways
1867,17,highways
1868,5,highways
1869,6,highways
1870,4,highways
1871,8,highways
1872,1,highways
1873,15,highways
1874,7,highways
1875,13,highways
1876,11,highways
1877,7,highways
1878,10,highways
1879,14,highways
1880,18,highways
1881,18,highways
1882,10,highways
1883,37,highways
1884,26,highways
1885,29,highways
1886,46,highways
1887,85,highways
1888,46,highways
1889,53,highways
1890,59,highways
1891,20,highways
1892,56,highways
1893,73,highways
1894,76,highways
1895,107,highways
1896,143,highways
1897,101,highways
1898,86,highways
1899,90,highways
1900,125,highways
1901,98,highways
1902,184,highways
1903,76,highways
1904,85,highways
1905,75,highways
1906,130,highways
1907,101,highways
1908,87,highways
1909,172,highways
1910,115,highways
