year,debates_per_year,keywords,words_per_year,proportion
1840,2,inclosure,469,0.0042643923240938165
1841,5,inclosure,528,0.00946969696969697
1842,6,inclosure,811,0.007398273736128237
1843,8,inclosure,624,0.01282051282051282
1844,6,inclosure,290,0.020689655172413793
1845,16,inclosure,636,0.025157232704402517
1846,11,inclosure,597,0.018425460636515914
1847,10,inclosure,794,0.012594458438287154
1848,9,inclosure,438,0.02054794520547945
1849,10,inclosure,487,0.02053388090349076
1850,14,inclosure,535,0.026168224299065422
1851,6,inclosure,283,0.02120141342756184
1852,12,inclosure,579,0.02072538860103627
1853,11,inclosure,555,0.01981981981981982
1854,14,inclosure,667,0.020989505247376312
1855,4,inclosure,764,0.005235602094240838
1856,10,inclosure,846,0.01182033096926714
1857,1,inclosure,724,0.0013812154696132596
1858,6,inclosure,610,0.009836065573770493
1859,5,inclosure,377,0.013262599469496022
1860,12,inclosure,580,0.020689655172413793
1861,3,inclosure,576,0.005208333333333333
1862,2,inclosure,449,0.004454342984409799
1863,1,inclosure,589,0.001697792869269949
1864,1,inclosure,439,0.002277904328018223
1865,5,inclosure,528,0.00946969696969697
1866,2,inclosure,419,0.00477326968973747
1867,3,inclosure,717,0.0041841004184100415
1868,1,inclosure,481,0.002079002079002079
1869,8,inclosure,631,0.012678288431061807
1870,2,inclosure,684,0.0029239766081871343
1871,6,inclosure,792,0.007575757575757576
1872,1,inclosure,607,0.0016474464579901153
1873,5,inclosure,746,0.006702412868632708
1874,1,inclosure,495,0.00202020202020202
1875,5,inclosure,865,0.005780346820809248
1876,8,inclosure,933,0.00857449088960343
1877,1,inclosure,893,0.0011198208286674132
1878,6,inclosure,945,0.006349206349206349
1879,3,inclosure,846,0.0035460992907801418
1880,14,inclosure,1264,0.011075949367088608
1881,78,inclosure,1629,0.04788213627992634
1882,151,inclosure,1477,0.10223425863236289
1883,30,inclosure,2947,0.01017984390906006
1884,14,inclosure,2168,0.006457564575645757
1885,12,inclosure,1549,0.007746933505487412
