year,debates_per_year,keywords,words_per_year,proportion
1836,11,freights,604,0.018211920529801324
1837,5,freights,497,0.01006036217303823
1838,1,freights,373,0.002680965147453083
1839,8,freights,517,0.015473887814313346
1840,3,freights,469,0.006396588486140725
1841,5,freights,528,0.00946969696969697
1842,5,freights,811,0.006165228113440197
1843,2,freights,624,0.003205128205128205
1844,1,freights,290,0.0034482758620689655
1845,47,freights,636,0.07389937106918239
1846,27,freights,597,0.04522613065326633
1847,18,freights,794,0.022670025188916875
1848,11,freights,438,0.02511415525114155
1849,13,freights,487,0.026694045174537988
1850,24,freights,535,0.044859813084112146
1851,5,freights,283,0.0176678445229682
1852,9,freights,579,0.015544041450777202
1853,7,freights,555,0.012612612612612612
1854,13,freights,667,0.019490254872563718
1855,13,freights,764,0.017015706806282723
1856,6,freights,846,0.0070921985815602835
1857,4,freights,724,0.0055248618784530384
1858,7,freights,610,0.011475409836065573
1860,6,freights,580,0.010344827586206896
1861,11,freights,576,0.019097222222222224
1862,9,freights,449,0.0200445434298441
1863,12,freights,589,0.02037351443123939
1864,6,freights,439,0.01366742596810934
1865,9,freights,528,0.017045454545454544
1866,7,freights,419,0.016706443914081145
1867,17,freights,717,0.023709902370990237
1868,5,freights,481,0.010395010395010396
1869,6,freights,631,0.009508716323296355
1870,4,freights,684,0.005847953216374269
1871,8,freights,792,0.010101010101010102
1872,1,freights,607,0.0016474464579901153
1873,15,freights,746,0.020107238605898123
1874,7,freights,495,0.014141414141414142
1875,13,freights,865,0.015028901734104046
1876,11,freights,933,0.011789924973204717
1877,7,freights,893,0.007838745800671893
1878,10,freights,945,0.010582010582010581
1879,14,freights,846,0.016548463356973995
1880,18,freights,1264,0.014240506329113924
1881,18,freights,1629,0.011049723756906077
1882,10,freights,1477,0.006770480704129994
1883,37,freights,2947,0.012555140821174076
1884,26,freights,2168,0.011992619926199263
1885,29,freights,1549,0.01872175597159458
1886,46,freights,2811,0.016364283173247954
1887,85,freights,4399,0.01932257331211639
1888,46,freights,4589,0.010023970363913707
1889,53,freights,2889,0.018345448251990307
1890,59,freights,3259,0.018103712795335992
1891,20,freights,810,0.024691358024691357
1892,56,freights,2028,0.027613412228796843
1893,73,freights,2045,0.03569682151589242
1894,76,freights,2158,0.03521779425393883
1895,107,freights,2934,0.03646898432174506
1896,143,freights,3517,0.04065965311344896
1897,101,freights,2867,0.035228461806766656
1898,86,freights,2951,0.029142663503896982
1899,90,freights,2470,0.03643724696356275
1900,125,freights,4199,0.02976899261728983
1901,98,freights,3443,0.028463549230322394
1902,184,freights,5941,0.0309712169668406
1903,76,freights,2221,0.034218820351193155
1904,85,freights,3296,0.02578883495145631
1905,75,freights,3447,0.02175805047867711
1906,130,freights,5193,0.02503369921047564
1907,101,freights,4386,0.02302781577747378
1908,87,freights,5474,0.015893313847278042
1909,172,freights,6443,0.026695638677634644
1910,115,freights,5008,0.022963258785942492
1804,1,cargoes,168,0.005952380952380952
1807,3,cargoes,59,0.05084745762711865
1811,2,cargoes,211,0.009478672985781991
1815,1,cargoes,247,0.004048582995951417
1819,1,cargoes,378,0.0026455026455026454
1820,1,cargoes,219,0.0045662100456621
1823,1,cargoes,226,0.004424778761061947
1824,2,cargoes,313,0.006389776357827476
1825,1,cargoes,118,0.00847457627118644
1826,2,cargoes,223,0.008968609865470852
1830,4,cargoes,717,0.005578800557880056
1831,1,cargoes,932,0.001072961373390558
1833,2,cargoes,519,0.0038535645472061657
1834,3,cargoes,483,0.006211180124223602
1835,4,cargoes,627,0.006379585326953748
1836,11,cargoes,604,0.018211920529801324
1837,5,cargoes,497,0.01006036217303823
1838,1,cargoes,373,0.002680965147453083
1839,8,cargoes,517,0.015473887814313346
1840,3,cargoes,469,0.006396588486140725
1841,5,cargoes,528,0.00946969696969697
1842,5,cargoes,811,0.006165228113440197
1843,2,cargoes,624,0.003205128205128205
1844,1,cargoes,290,0.0034482758620689655
1845,47,cargoes,636,0.07389937106918239
1846,27,cargoes,597,0.04522613065326633
1847,18,cargoes,794,0.022670025188916875
1848,11,cargoes,438,0.02511415525114155
1849,13,cargoes,487,0.026694045174537988
1850,24,cargoes,535,0.044859813084112146
1851,5,cargoes,283,0.0176678445229682
1852,9,cargoes,579,0.015544041450777202
1853,7,cargoes,555,0.012612612612612612
1854,13,cargoes,667,0.019490254872563718
1855,13,cargoes,764,0.017015706806282723
1856,6,cargoes,846,0.0070921985815602835
1857,4,cargoes,724,0.0055248618784530384
1858,7,cargoes,610,0.011475409836065573
1860,6,cargoes,580,0.010344827586206896
1861,11,cargoes,576,0.019097222222222224
1862,9,cargoes,449,0.0200445434298441
1863,12,cargoes,589,0.02037351443123939
1864,6,cargoes,439,0.01366742596810934
1865,9,cargoes,528,0.017045454545454544
1866,7,cargoes,419,0.016706443914081145
1867,17,cargoes,717,0.023709902370990237
1868,5,cargoes,481,0.010395010395010396
1869,6,cargoes,631,0.009508716323296355
1870,4,cargoes,684,0.005847953216374269
1871,8,cargoes,792,0.010101010101010102
1872,1,cargoes,607,0.0016474464579901153
1873,15,cargoes,746,0.020107238605898123
1874,7,cargoes,495,0.014141414141414142
1875,13,cargoes,865,0.015028901734104046
1876,11,cargoes,933,0.011789924973204717
1877,7,cargoes,893,0.007838745800671893
1878,10,cargoes,945,0.010582010582010581
1879,14,cargoes,846,0.016548463356973995
1880,18,cargoes,1264,0.014240506329113924
1881,18,cargoes,1629,0.011049723756906077
1882,10,cargoes,1477,0.006770480704129994
1883,37,cargoes,2947,0.012555140821174076
1884,26,cargoes,2168,0.011992619926199263
1885,29,cargoes,1549,0.01872175597159458
1886,46,cargoes,2811,0.016364283173247954
1887,85,cargoes,4399,0.01932257331211639
1888,46,cargoes,4589,0.010023970363913707
1889,53,cargoes,2889,0.018345448251990307
1890,59,cargoes,3259,0.018103712795335992
1891,20,cargoes,810,0.024691358024691357
1892,56,cargoes,2028,0.027613412228796843
1893,73,cargoes,2045,0.03569682151589242
1894,76,cargoes,2158,0.03521779425393883
1895,107,cargoes,2934,0.03646898432174506
1896,143,cargoes,3517,0.04065965311344896
1897,101,cargoes,2867,0.035228461806766656
1898,86,cargoes,2951,0.029142663503896982
1899,90,cargoes,2470,0.03643724696356275
1900,125,cargoes,4199,0.02976899261728983
1901,98,cargoes,3443,0.028463549230322394
1902,184,cargoes,5941,0.0309712169668406
1903,76,cargoes,2221,0.034218820351193155
1904,85,cargoes,3296,0.02578883495145631
1905,75,cargoes,3447,0.02175805047867711
