year,debates_per_year,keywords
1839,3,landown
1840,2,landown
1841,5,landown
1842,6,landown
1843,8,landown
1844,6,landown
1845,16,landown
1846,11,landown
1847,10,landown
1848,9,landown
1849,10,landown
1850,14,landown
1851,6,landown
1852,12,landown
1853,11,landown
1854,14,landown
1855,4,landown
1856,10,landown
1857,1,landown
1858,6,landown
1859,5,landown
1860,12,landown
1861,3,landown
1862,2,landown
1863,1,landown
1864,1,landown
1865,5,landown
1866,2,landown
1867,3,landown
1868,1,landown
1869,8,landown
1870,2,landown
1871,6,landown
1872,1,landown
1873,5,landown
1874,1,landown
1875,5,landown
1876,8,landown
1877,1,landown
1878,6,landown
1879,3,landown
1880,14,landown
1881,78,landown
1882,151,landown
1883,30,landown
1884,14,landown
1885,12,landown
1886,36,landown
1887,53,landown
1888,51,landown
1889,48,landown
1890,30,landown
1891,5,landown
1892,20,landown
1893,15,landown
1894,25,landown
1895,30,landown
1896,83,landown
1897,51,landown
1898,39,landown
1899,33,landown
1900,49,landown
1901,55,landown
1902,88,landown
1903,23,landown
1904,143,landown
1905,187,landown
1906,267,landown
1907,168,landown
1908,232,landown
1909,318,landown
1910,227,landown
1804,4,property
1805,1,property
1807,1,property
1808,1,property
1809,1,property
1810,1,property
1811,2,property
1812,1,property
1815,8,property
1817,1,property
1818,1,property
1820,2,property
1822,1,property
1823,3,property
1826,2,property
1828,3,property
1830,4,property
1831,6,property
1832,4,property
1833,4,property
1834,8,property
1835,3,property
1836,10,property
1837,5,property
1838,5,property
1839,3,property
1840,2,property
1841,5,property
1842,6,property
1843,8,property
1844,6,property
1845,16,property
1846,11,property
1847,10,property
1848,9,property
1849,10,property
1850,14,property
1851,6,property
1852,12,property
1853,11,property
1854,14,property
1855,4,property
1856,10,property
1857,1,property
1858,6,property
1859,5,property
1860,12,property
1861,3,property
1862,2,property
1863,1,property
1864,1,property
1865,5,property
1866,2,property
1867,3,property
1868,1,property
1869,8,property
1870,2,property
1871,6,property
1872,1,property
1873,5,property
1874,1,property
1875,5,property
1876,8,property
1877,1,property
1878,6,property
1879,3,property
1880,14,property
1881,78,property
1882,151,property
1883,30,property
1884,14,property
1885,12,property
1886,36,property
1887,53,property
1888,51,property
1889,48,property
1890,30,property
1891,5,property
1892,20,property
